// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]
// INDEX 3459
group_debug_chain_do_p_ovl_chain	[Give action, link to mission DEBUG_CHAIN 2]

// HASH_VALUE DF6BA48A07BFF0C5
// INDEX 3460
group_debug_chain_mis_desc	[Linked mission - do after DEBUG CHAIN.]

// HASH_VALUE 7ED0D0EA03CF761D
// INDEX 3461
group_debug_chain_mis_title	[GROUP CHAIN 2 DEBUG]

// HASH_VALUE EAB28D384478ACAD
// INDEX 3462
group_debug_chain_p_ovl_chain	[Give action, follow on of DEBUG_CHAIN mission]

// HASH_VALUE FCFC22AECD809C3A
// INDEX 3463
group_debug_craft_mis_desc	[Craft feature test - once-off mission with required matis fame of 50.]

// HASH_VALUE 09D6B87956B1F3FF
// INDEX 3464
group_debug_craft_mis_title	[DEBUG group CRAFT]

// HASH_VALUE 403AA22C021FCD2E
// INDEX 3465
group_debug_craft_p_ovl_any	[Craft overload any: craft $qty_craft$ $item_craft$ of $qlty_craft$ quality and $qty_craft$ $item_craft2$ of $qlty_craft$ quality OR $qty_craft$ $item_craft3$ of $qlty_craft$ quality]

// HASH_VALUE 275D576403B281F7
// INDEX 3466
group_debug_craft_p_ovl_craft_1	[craft overload: craft $qty_craft$ $item_craft$ of $qlty_craft$ quality]

// HASH_VALUE 90D4B8372CE752A2
// INDEX 3467
group_debug_crash_mis_desc	[Crash Test.]

// HASH_VALUE 42D2B82149AEE709
// INDEX 3468
group_debug_crash_mis_title	[GROUP CRASH DEBUG]

// HASH_VALUE 4344C340DBF8C952
// INDEX 3469
group_debug_crash_p_smg_crash	[Crash test, simulate a crash and go back to a kill step]

// HASH_VALUE 171130F9565AC79B
// INDEX 3470
group_debug_crash_p_smg_crash2	[Crash intercepted - end of mission]

// HASH_VALUE ECFA2A6ECCB0D426
// INDEX 3471
group_debug_divers_mis_desc	[Recv fame test,.]

// HASH_VALUE 0F701CFB89537A3E
// INDEX 3472
group_debug_divers_mis_title	[GROUP VARIOUS DEBUG]

// HASH_VALUE AB1AA4A7DD99A474
// INDEX 3473
group_debug_divers_p_t2_teleport	[Various tests]

// HASH_VALUE AC89729BD694F46F
// INDEX 3474
group_debug_fail_mis_desc	[Mission test fail.]

// HASH_VALUE CCECF4204272122A
// INDEX 3475
group_debug_fail_mis_title	[GROUP FAIL DEBUG]

// HASH_VALUE FF66F925246F29A7
// INDEX 3476
group_debug_fail_p_smf_failure1	[Mission step failed, move on to the next step.]

// HASH_VALUE 320DE425B58B70DC
// INDEX 3477
group_debug_fail_p_smg_periode	[Time period fail - move on to the next step]

// HASH_VALUE 275DB3946E60F05B
// INDEX 3478
group_debug_fail_p_smg_timer	[Time constraint test - 5 sec to kill $creature_kill$]

// HASH_VALUE 5897DC581D72B479
// INDEX 3479
group_debug_forage_mis_desc	[Forage test.]

// HASH_VALUE 8A01A8347CBFFB06
// INDEX 3480
group_debug_forage_mis_title	[GROUP FORAGE DEBUG]

// HASH_VALUE DE8B16782AC74D30
// INDEX 3481
group_debug_forage_p_ovl_forage_1	[Forage goal overload: forage of 3 $mp_forage$ of quality 20]

// HASH_VALUE 965ACF3DDFF3FF70
// INDEX 3482
group_debug_give_mis_desc	[Give item test.]

// HASH_VALUE CCECBC3A4692122A
// INDEX 3483
group_debug_give_mis_title	[GROUP GIVE DEBUG]

// HASH_VALUE 402445950B2E9B83
// INDEX 3484
group_debug_kill_mis_desc	[Creature Kill Test - replayable with a timer of 5 minutes, the DEBUG_GIVE mission must not be underway.]

// HASH_VALUE BA56D4665E744A24
// INDEX 3485
group_debug_kill_mis_title	[DEBUG group KILL]

// HASH_VALUE E92B768E54EDFB03
// INDEX 3486
group_debug_kill_p_ovl_kill_any_1	[Kill overload: kill a $creature_kill$ in $place_kill$]

// HASH_VALUE F77F328833CB79E0
// INDEX 3487
group_debug_kill_p_ovl_kill_group1	[Overload de kill group: tuer les bestioles]

// HASH_VALUE B0F8834D30E7A719
// INDEX 3488
group_debug_kill_p_ovl_kill_serie	[Tuer les bestiole et bestiole2]

// HASH_VALUE 98519F9899384B56
// INDEX 3489
group_debug_loot_mis_desc	[Test loot - cannot be abandoned.]

// HASH_VALUE BA56D46662D47A26
// INDEX 3490
group_debug_loot_mis_title	[DEBUG group LOOT]

// HASH_VALUE C00DE8153A7E5233
// INDEX 3491
group_debug_loot_p_ovl_loot1_1	[Loot goal overload: loot $qty_loot$ $item_loot2$ of $qlty_loot$ quality and $qty_loot$ $item_loot3$ of $qlty_loot$ quality]

// HASH_VALUE C00DE8153A7E5233
// INDEX 3492
group_debug_loot_p_ovl_loot1_2	[Loot goal overload: loot $qty_loot$ $item_loot2$ of $qlty_loot$ quality and $qty_loot$ $item_loot3$ of $qlty_loot$ quality]

// HASH_VALUE F9808114B83E5363
// INDEX 3493
group_debug_loot_p_ovl_loot2	[Loot goal overload: loot $qty_loot$ $item_loot2$ of $qlty_loot$ quality and $qty_loot$ $item_loot3$ of $qlty_loot$ quality OR $qty_loot$ $item_loot$ of $qlty_loot$ quality]

// HASH_VALUE A2DB779759091821
// INDEX 3494
group_debug_loot_p_smg_loot2	[Loot with variables]

// HASH_VALUE ECD214584C7A040A
// INDEX 3495
group_debug_money_mis_desc	[Give money test.]

// HASH_VALUE 8602B42B0B4EE709
// INDEX 3496
group_debug_money_mis_title	[GROUP MONEY DEBUG]

// HASH_VALUE 98C9B749A592EB7A
// INDEX 3497
group_debug_sell_mis_desc	[Item sell test.]

// HASH_VALUE CCECF4264414122A
// INDEX 3498
group_debug_sell_mis_title	[GROUP SELL DEBUG]

// HASH_VALUE 4995B12E02C84368
// INDEX 3499
group_debug_sell_p_ovl_sell_1	[Sell overload: sell 1 $item_sell$ of quality 1]

// HASH_VALUE D70B2C4DD9F63F08
// INDEX 3500
group_debug_spawn_1_mis_desc	[Not displayed - else bug.]

// HASH_VALUE A7C973616808A361
// INDEX 3501
group_debug_spawn_1_mis_title	[Title not displayed]

// HASH_VALUE D70B2C4DD9F63F08
// INDEX 3502
group_debug_spawn_2_mis_desc	[Not displayed - else bug.]

// HASH_VALUE A7C973616808A361
// INDEX 3503
group_debug_spawn_2_mis_title	[Title not displayed]

// HASH_VALUE AB23CAA355C5BBB0
// INDEX 3504
group_debug_spawn_do_mis_desc	[Spawn test and do mission.]

// HASH_VALUE 3F512F2F0D1E2B42
// INDEX 3505
group_debug_spawn_do_mis_title	[DEBUG GROUP SPAWN-MISSION]

// HASH_VALUE 5F947BAE57D6B89B
// INDEX 3506
group_debug_spawn_do_p_ovl_domission	[Overload: carry out linked missions: kill $creature_kill$ AND $creature_kill2$ ]

// HASH_VALUE C716DF160BE02B82
// INDEX 3507
group_debug_talk_mis_desc	[NPC Talk Test.]

// HASH_VALUE CCECEC264234122A
// INDEX 3508
group_debug_talk_mis_title	[GROUP TALK DEBUG]

// HASH_VALUE 9DEAB4375EBAAF39
// INDEX 3509
group_debug_talk_p_bc_talk	[Bot-chat test phrase]

// HASH_VALUE 570A93482F437266
// INDEX 3510
group_debug_talk_p_bc_talk_any1	[Bot chat test phrase. ]

// HASH_VALUE 4F85258626F07902
// INDEX 3511
group_debug_talk_p_t2_any1	[Talk-to any test phrase. Followed by bot-chat]

// HASH_VALUE 994D29A9ED74AB13
// INDEX 3512
group_debug_talk_p_t2_talk	[Test phrase. followed by a bot-chat]

// HASH_VALUE 8324E7C14F7DBD7E
// INDEX 3513
group_debug_target_mis_desc	[Creature Target Test - request to wear: icmja (Matis anklet).]

// HASH_VALUE CFE18842F9A03704
// INDEX 3514
group_debug_target_mis_title	[GROUP TARGET DEBUG]

// HASH_VALUE 6BD980A693B4BC66
// INDEX 3515
group_debug_target_p_smg_target1	[Simple creature target]

// HASH_VALUE A68468925574F86C
// INDEX 3516
group_debug_target_p_smg_target2	[Target creature in a place]

// HASH_VALUE 129534794D84174A
// INDEX 3517
group_debug_target_p_smg_target3	[NPC Target]

// HASH_VALUE A68468925574F86C
// INDEX 3518
group_debug_target_p_smg_target4	[Target creature in a place]

// HASH_VALUE 129534794D84174A
// INDEX 3519
group_debug_target_p_smg_target5	[NPC Target]

// HASH_VALUE 9B6A4845E434DBAA
// INDEX 3520
group_debug_teleport_mis_desc	[Teleport Test.]

// HASH_VALUE 4A93E7288A402F35
// INDEX 3521
group_debug_teleport_mis_title	[GROUP TELEPORT DEBUG]

// HASH_VALUE C86AC05017F86FA1
// INDEX 3522
group_debug_teleport_p_t2_teleport	[You are going to be teleported]

// HASH_VALUE 5425D699225E8881
// INDEX 3523
group_debug_visit_mis_desc	[Place visit test - accessible from the context menu.]

// HASH_VALUE 55F6582ACCDF6749
// INDEX 3524
group_debug_visit_mis_title	[Group VISIT DEBUG]

// HASH_VALUE D069044557E55667
// INDEX 3525
group_debug_visit_p_menu_context	[Place visit - debug]

// HASH_VALUE 1A371FB237228914
// INDEX 3526
group_debug_visit_p_ovl_visit	[Overload d'objectif de visit: aller à $debug_place_visit2$]

// HASH_VALUE 1A378FA437228914
// INDEX 3527
group_debug_visit_p_ovl_visit2	[Overload d'objectif de visit: aller à $debug_place_visit$]

// HASH_VALUE DB26C99423B96F64
// INDEX 3528
group_debug_visit_p_ovl_visit3	[Overload de visit: aller à $place_camp$ OU $debug_place_visit2$]

// HASH_VALUE 9A04A02CCEC590AF
// INDEX 3529
group_debug_visit_p_smg_compass	[Adding the place on the compass]

// HASH_VALUE 35AB19C316B47064
// INDEX 3530
group_debug_visit_p_smg_compass2	[Removal of the area from the compass]

// HASH_VALUE 6A35AB956389AB61
// INDEX 3531
group_debug_visit_p_smg_visit_timed	[Timer test inside place]

// HASH_VALUE 8B75C4A257099A21
// INDEX 3532
group_debug_visit_p_t2_giver	[Rest of the mission...]

// HASH_VALUE FED0461DC37EFC07
// INDEX 3533
guard_newb_engage_1	[&BBL&Посторонись, я разберусь сам!]

// HASH_VALUE B34E4AB703FB2CF2
